#	THĂNG
$	ĐỒNG
LTTT	LÝ THUYẾT TRUYỀN TIN
LTV	LƯƠNG THẾ VINH
LUALABA	LU A LA BA
LUANDA	LU AN ĐA
LUANG	LU ÔNG
LUBA	LU BA
LUBANGO	LU BAN GU
LUBUMBASHI	LU BUM BA SI
LUCA	LU CA
LUCAS	LU CÁT
LUCASIEWICZ	LU CA SI Ê VÍCH
LUCE	LU XƠ
LUCERNE	LU XÉC NƠ
LUCIA	LU SI A
LUCIANO	LU SI A NÔ
LUCIEN	LU XIÊNG
LUCIO	LU XI Ơ
LUCKENWALDE	LÚC KEN VAN ĐƠ
LUCKNOW	LÚC NAO
LUCKY	LẤT KI
LUCRETIUS	LUC RÊ TI ÚT
LUCY	LU XI
LUHYAR	LU DA
LUIGI	LU I GI
LUIS	LU I
LUIZ	LU I
LUKACS	LU CÁC
LUKAS	LU CÁT
LUKASHENKO	LU CA SEN CÔ
LUKASIEWICZ	LU CA XI Ê VÍCH
LUKUGA	LU CU GA
LULA	LU LA
LULEA	LU LÊ A
LULLY	LUY LY
LUMPU	LUM BUA
LUMPUR	LUM BUA
LUMUMBA	LU MUM BA
LUNDA	LUN ĐA
LUNOKHOD	LU NÔ KHỐT
LUO	LU Ô
LUOS	LU ỐT
LUQSOR	LÚC XÔ
LUSAKA	LU XA KA
LUSITANI	LU DI TA NI
LUTHER	LU THƠ
LUTOSLAWSKI	LU TÔ XỜ LÁP XỜ KI
LUX	LẮC
LUXEMBOUG	LÚC XEM BUA
LUXEMBOURG	LÚC XEM BUA
LUXEMBURGO	LÚC XEM BU GÔ
LUZON	LU XÔNG
LVC	LƯƠNG VĂN CHÁNH
LVĐ	LUẬN VĂN ĐÀN
LVH	LÃNH VÔ HÀN
LVN	LỚP VIỆT NGỮ
LVSĐN	LƯU VỰC SÔNG ĐỒNG NAI
LWOFF	LƠ VỐP
LXL	LÙN XOẮN LÁ
LYDIA	LY ĐI A
LYELL	LAI ÂN
LYKEIOS	LI CÂY ỐT
LYON	LI ÔNG
LYSIPPE	LI XÍP
M	MỜ
MAAS	MA ÁT XƠ
MAASTRICHT	MÁT TRÍCH
MABLY	MA BỜ LI
MACAO	MA CAO
MACAU	MA CAO
MACCABI	MÁC CA BI
MACCARTHY	MÁC CA TI
MACĐ	MÁI ẤM CÔNG ĐOÀN
MACDONALD	MÁC ĐÔ NAN
MACEDOINE	MA KÊ ĐÔ NI A
MACEDONIA	MÁC XÊ ĐÔ NHA
MACHADO	MA CHA ĐÔ
MACHALA	MA CHA LA
MACHIAVELLI	MA KI A VE LI
MACHU	MA CHU
MACIANUS	MA XI A NÚT
MACINTOSH	MÁC XIN TỐT
MACKENZIE	MÁC KEN GI
MACKINDER	MÁC KIN ĐƠ
MACLAURIN	MÁC LÔ RIN
MACMILLAN	MÁC MI LAN
MACO	MA CÔ
MADAGASCAR	MA ĐA GÁT CA
MADANG	MA ĐANG
MADDOX	MA ĐỐC
MADEIRA	MA ĐÂY RA
MADELEINE	MA ĐƠ LEN
MADHYA	MA ĐI A
MADID	MA RÍT
MADINAT	MA ĐI NÁT
MADONA	MA ĐÔ NA
MADONNA	MA ĐÔ NA
MADONNAS	MA ĐÔN NA
MADRAS	MA ĐỜ RÁT
MADRE	MA ĐỜ RÊ
MADRID	MA RÍT
MADURA	MA ĐU RA
MAE	MA Ê
MAECENAS	MA Ê XÊ NÁT
MAEKAWA	MA Ê CA QUA
MAESTRA	MA ÉT TRA
MAETERLINCK	MA TÉC LIN CƠ
MAGADAN	MA GA ĐAN
MAGAZINE	ME GA DIN
MAGDALENA	MÁC ĐA LÊ NA
MAGDEBURG	MÁC ĐƠ BỚT
MAGELLAN	MA GIEN LĂNG
MAGGI	MA GI
MAGGIE	ME DI
MAGGINI	MA GHI NI
MAGIC	ME GÍCH
MAGIE	MA GIÊ
MAGINOT	MA GHI NỐT
MAGNANI	MA NHA NI
MAGNUS	MÁC NÚT
MAGRITTE	MA GỜ RÍT
MAGSAYSAY	MÁC XÂY XÂY
MAHAJANGA	MA HA GIAN GA
MAHAL	MA HAN
MAHALL	MA HAN
MAHARASHTRA	MA HA RÁT TRA
MAHATHIR	MA HA THIA
MAHAWELI	MA HA QUE LI
MAHLER	MA LƠ
MAHMOUD	MA MÚT
MAIA	MAI A
MAIAKOVSKY	MAI A CỐP KY
MAIKOPSKAAJ	MAI CỐP XỜ CA AI
MAILLOL	MAI LON
MAIN	MEN
MAINE	ME NƠ
MAIO	MAI Ô
MAITS	MAI XƠ
MAJAKOVSKIJ	MAI A CỐP XỜ KI
MAJOR	MÂY GIƠ
MAJORCA	MA GIOÓC CA
MAJURO	MA GIU RÔ
MAKARA	MA CA RA
MAKARENKO	MA CA REN CÔ
MAKAROVA	MA CA RÔ VA
MAKE	MÁCH
MAKELELE	MẮC KÊ LÊ LÊ
MAKENI	MA KÊ NI
MAKETING	MA KÉT TING
MAKHACHKALA	MA KHÁT CA LA
MAKIMONO	MA KI MÔ NÔ
MAKINO	MA KI NÔ
MAKOKO	MA CÔ CÔ
MAKSIMOVA	MÁC XI MÔ VA
MALACCA	MA LÁC CA
MALAGA	MA LA GA
MALAIXIA	MA LAI XI A
MALAWI	MA LA QUY
MALAY	MA LAY
MALAYSIA	MA LAI XI A
MALCOLM	MAN COM
MALDINI	MAN ĐI NI
MALDIVES	MAN ĐI VÉT
MALEBRANCHE	MA LƠ BỜ RĂNG SƠ
MALEVICH	MA LÊ VÍCH
MALHERBE	MA LÉC BƠ
MALI	MA LI
MALIBU	MA LI BU
MALIKI	MA LI KI
MALINKE	MA LIN KÊ
MALINOWSKI	MA LI NỐP XỜ KI
MALJAVIN	MA LI A VIN
MALKIN	MAN KIN
MALL	MÔN
MALLERET	MA LƠ RÊ
MALLOCA	MO LÓT CA
MALLORCA	MA LÓT CA
MALOUDA	MA LU ĐA
MALRAUX	MAN RÔ
MALTA	MAN TA
MALTE	MAN TƠ
MALTHUS	MAN TUÝT
MALVINAS	MAN VI NÁT
MALYJ	MA LƯ I
MAMALAY	MA MA LAY
MAMBURAO	MAM BU RAO
MANADO	MA NA ĐÔ
MANAGER	ME NƠ GIƠ
MANAUT	MA NAU
MANCHE	MĂNG SƠ
MANCHESTER	MAN CHÉT TƠ
MANCINI	MAN XI NI
MANCO	MAN CÔ
MANDALAY	MAN ĐA LAY
MANDE	MAN ĐÊ
MANDELA	MAN ĐÊ LA
MANDELSON	MAN ĐEN SÂN
MANDY	MAN ĐI
MANESSIER	MA NÉT XI Ơ
MANET	MA NÉT
MANGA	MAN GA
MANGO	MAN GÔ
MANGYSHLAK	MAN GƯ SỜ LẮC
MANHATTAN	MAN HÁT TAN
MANHTTAN	MAN TAN
MANILA	MAN NI LA
MANITOBA	MA NI TÔ BA
MANMOHAN	MAN MÔ HAN
MANN	MAN
MANNERHEIM	MAN NÉC HEM
MANNHEIM	MAN HEM
MANO	MA NÔ
MANOUCHEHR	MA NU CHƠ
MANSART	MĂNG SÁC
MANSON	MAN SÂN
MANSUY	MĂNG XUY
MANTALINGAJAN	MAN TA LIN GA GIAN
MANTEGNA	MAN TÊ NHA
MANTOVA	MAN TÔ VA
MANU	MA NU
MANUEL	MA NU EN
MANUKAU	MA NU CAO
MANULIFE	MA NU LAI
MANZINI	MAN GI NI
MANZONI	MAN XÔ NI
MAPUTO	MA BU TÔ
MAR	MA RỜ
MARACAIBO	MA RA CAI BÔ
MARADONA	MA RA ĐÔ NA
MARANO	MA RA NÔ
MARAT	MA RÁT
MARATHON	MA RA TÔNG
MARC	MÁC
MARCEL	MÁC XEN
MARCELLO	MÁC XE LÔ
MARCELO	MÁC XE LÔ
MARCHAIS	MÁC SE
MARCO	MA CÔ
MARCONI	MÁC CÔ NI
MARCOS	MÁC CỐT
MARCUS	MA CÚT
MARCUSE	MÁC CU SƠ
MARDOUK	MÁC ĐÚC
MARGARET	MA GA RÉT
MARI	MA RI
MARIA	MA RI A
MARIAH	MỜ ROAI ÂN
MARIANA	MA RI A NA
MARIANE	MA RI AN
MARIE	ME RY
MARIENBURG	MA RI EN BỚT
MARIETTE	MA RI ÉT
MARIGNY	MA RI NHI
MARIINSKIJ	MA RI IN XỜ KI
MARILYN	MA RI LIN
MARINA	MA RI NA
MARINE	MA RIN
MARINETTI	MA RI NÉT TI
MARINO	MA RI NÔ
MARIO	MA RI Ô
MARIOTTE	MA RI ỐT
MARITAIN	MA RI TANH
MARIUS	MA RI ÚT
MARKA	MÁC CA
MARKELIUS	MÁC KÊ LI ÚT
MARKOV	MÁC KỐP
MARKOVNIKOV	MÁC CỐP NI CỐP
MARKOVO	MÁC CÔ VÔ
MARKUS	MA CÚT
MARLOWE	MÁC LÔ
MARMARA	MÁC MA RA
MARNE	MÁC NƠ
MAROC	MA RỐC
MARONI	MA RÔ NI
MAROT	MA RÓT
MARQUET	MÁC KÊ
MARRAKECH	MA RA KẾCH
MARSEILLE	MẠT XÂY
MARSH	MA SỜ
MARSHALL	MÁT SAN
MART	MÁT
MARTABAN	MÁC TA BAN
MARTEL	MÁC TEN
MARTIAL	MÁC TEO
MARTIN	MÁC TIN
MARTINA	MÁT TI NA
MARTINET	MÁC TI NÉT
MARTINEZ	MA TI NÉT
MARTINIQUE	MÁC TI NÍCH
MARTINS	MÁC TIN
MARTINSON	MÁC TIN XƠN
MARTOS	MÁC TỐT
MARTOV	MÁC TỐP
MARTY	MÁC TI
MARVIN	MÁC VIN
MARY	ME RY
MARYLAND	MA RY LEN
MASACCIO	MA SÁC XI Ô
MASAKA	MA XA CA
MASAKO	MA XA CÔ
MASAN	MA SAN
MASANG	MA SANG
MASANOBU	MA XA NÔ BU
MASAOUAH	MA XAO A
MASBATE	MÁT BA TÊ
MASCARA	MÁC CA RA
MASCAREINGNES	MÁT CA REN NÉT
MASCATE	MÁT CÁT
MASCHERANO	MÁT XÊ RA NÔ
MASERU	MA XÊ RU
MASHHAD	MA SÁT
MASHONALAND	MA SÔ NA LEN
MASINA	MA SI NA
MASOWN	MA XƠN
MASPERO	MÁT BÊ RÔ
MASRI	MA RI
MASSACHUSETTS	MÁT SA CHU SÉT
MASSENET	MA XƠ NÉT
MASSIMO	MÁT SI MÔ
MASSIN	MA XIN
MASSINE	MA XIN
MASSON	MA XÔNG
MASTER	MÁT TƠ
MASTERCARD	MÁT TƠ CẠC
MASTROIANNI	MA XỜ TRÔI AN NI
MATERAZZI	MA TÊ RA DI
MATHERON	MA TƠ RÔNG
MATHESIUS	MA TÊ SI ÚT
MATHIEU	MA THI Ơ
MATIN	MA TIN
MATISSE	MA TI XƠ
MATIZ	MA TÍT
MATO	MA TÔ
MATSUMOTO	MÁT XU MÔ TÔ
MATSUSHITA	MÁT SU SI TA
MATSUYAMA	MÁT XU DA MA
MATTA	MÁT TA
MATTHEW	MÁT THÊU
MATVEEV	MÁT VÊ ÉP
MATXCOVA	MÁT CƠ VA
MAUDAO	MAU ĐAO
MAUI	MAU I
MAUNA	MAU NA
MAUNG	MA UNG
MAUPASSANT	MÔ BA XĂNG
MAURESMO	MAU RÉT MÔ
MAURICE	MÔ RAI
MAURITANIA	MÔ RI TA NI
MAUROIS	MÔ RO A
MAURYA	MÔ RI A
MAUSOLE	MAO SÔ LƠ
MAVACA	MA VA CA
MAX	MẮC
MAXCOVA	MÁT CƠ VA
MAXI	MA XI
MAXIM	MÁT XIM
MAXWELL	MÁC XOEN
MAYA	MA GIA
MAYEN	MA DEN
MAYI	MA DI
MAYO	MA DÔ
MAYOTTE	MA DỐT
MAZARINE	MA GIA RIN
MAZURIE	MA GIU RI
MAZZINI	MA GI NI
MBALE	MƠ BA LƠ
MBDB	MỘT BUỔI ĐI BƠI
MBETE	MƠ BÊ TÊ
MBH	MŨ BẢO HIỂM
MBHTĐ	MÁY BÁN HÀNG TỰ ĐỘNG
MBOSHI	MƠ BÔ SI
MBQH	MẶT BẰNG QUY HOẠCH
MCAFEE	MÁC A PHI
MCBRIDE	MÁC ROAI
MCCAIN	MÁC CÊN
MCCARTHY	MÁC CA THY
MCCARTNEY	MÁC CẠT NI
MCCATHY	MÁT CA THY
MCCLAEN	MÁC LA REN
MCCLAREN	MÁC LA REN
MCDONALD	MÁC ĐÔ NAN
MCGOVERN	MÁC GÔ VẦN
MCKINLEY	MÁC KIN LI
MCLAREN	MÁC LA REN
MCLENNAN	MÁC LEN NƠN
MCNAMARA	MÁC NA MA RA
MCP	MUA CỔ PHIẾU
MĐ	MẶT ĐƯỜNG
MDC	MỎ ĐỊA CHẤT
MDCT	MỨC ĐỘ CẠNH TRANH
MĐLN	MÍA ĐƯỜNG LA NGÀ
MDM	MIỀN ĐẤT MỚI
MDP	MẶT DÂY PHA
MĐT	MẠI ĐIỆN TỬ
MDV	MỀM DỊCH VỤ
MEAD	MÍT
MEANS	MIN XƠ
MECCA	MÉC CA
MECEDES	MẸT XE ĐÉT
MECHNIKOV	MÉT NI CỐP
MECKEL	MÉC KEN
MEDAN	MÊ ĐAN
MEDELLIN	MÊ ĐÊ LIN
MEDICAL	ME ĐI KHỒ
MEDICINE	ME ĐI XIN
MEDINA	MÊ ĐI NA
MEDJERDA	MÉT GIÉC ĐA
MEDVEDEV	MÉP VỚ ĐÉP
MEDVEDNICA	MÉT VÉT NI CA
MEERZORG	MÊ GIỐC
MEETING	MÍT TINH
MEFODIJ	MÊ PHÔ ĐI
MEGAPIXEL	MÊ GA BÍT SEO
MEGASTAR	ME GÁT TA
MEGHNA	MÉC NHA
MEHICO	MÊ HI CÔ
MEHRING	MÊ RINH
MEIDIAS	MÂY ĐI ÁT
MEILLET	MÂY LÉT
MEISSEN	MAI SEN
MEISSNER	MAY XỜ NƠ
MEITNER	MÉT NƠ
MEJICANOS	MÊ GI CA NỐT
MEKONG	MÊ CÔNG
MELAKA	MÊ LA CA
MELBOUNE	MEO BỜN
MELBOURNE	MEO BỜN
MELIA	ME LI A
MELILLA	MÊ LI LA
MELINDA	ME LIN ĐA
MELISSA	ME LÍT SA
MELVILLE	MEN VIN
MEMLING	MEM LINH
MEMPHIS	MEM PHÍT
MENAM	MÊ NAM
MENANDROS	MÊ NAN ĐỜ RỐT
MENDEL	MEN DEN
MENDELEEV	MEN ĐÊ LÊ ÉP
MENDELEVIUM	MEN ĐÊ LÊ VI UM
MENDELSOHN	MEN ĐEN XƠN
MENDELSSOHN	MEN ĐEN XƠN
MENDOZA	MEN ĐÔ GIA
MENELAOS	MÊ NÊ LAO XỜ
MENGER	MEN GƠ
MENGISTU	MEN GÍT TU
MENU	ME NU
MENUHIN	MÊ NU HIN
MENZEL	MEN XEN
MERCATOR	MÉC CA TO
MERCEDES	MẸT XI ĐÉT
MERCURE	MÉC QUY RƠ
MERKEL	MẮC CEN
MERLE	MÉC LƠ
MERRITT	MÊ RÍT
MERRY	ME RY
MERTON	MƠ TƠN
MERYL	ME RY
MESETA	MÊ XÊ TA
MESHCHERSKIJ	ME SÉC XỜ KI
MESLIER	MÊ LI Ê
MESOPOTAMIE	MÊ SÔ BÔ TA MI
MESSENGER	MÉT XEN GƠ
MESSERER	MÊ XÊ RÊ
MESSI	MÉT XI
MESSIAEN	MÊ XI AN
MESSINA	MÉT SI NA
MESTALLA	MÉT TA LA
MESURADO	MÊ XU RA ĐÔ
METAGENES	MÊ TA GHÊ NÉT
METRO	MÊ TRÔ
METROPOLE	MÊ TRÔ LÔ
METROPOLITAN	MÊ TRÔ PÔ LI TƠN
METSU	MÉT SU
METTECNICH	MÊ TÉC NÍCH
METZINGER	MÉT GIN GƠ
MEUSE	MƠ SƠ
MEXICO	MÊ XI CÔ
MEYER	MÊ GIƠ
MEYERBEER	MÂY Ơ BÊ Ơ
MG	MẬT GẤU
MGCK	MÔI GIỚI CHỨNG KHOÁN
MGHN	MÔI GIỚI HÔN NHÂN
MGMN	MẪU GIÁO MẦM NON
MHAV	MAI HOA ẢNH VIỆN
MHQL	MÔ HÌNH QUẢN LÝ
MHTNTN	MÙA HÈ THANH NIÊN TÌNH NGUYỆN
MHV	MÔ HÌNH VIỆT
MHX	MÙA HÈ XANH
MIAMI	MAI A MI
MIAN	MIÊN
MICHAEL	MAI CÔ
MICHAUX	MI SÔ
MICHEAL	MAI CÔ
MICHEL	MI SEN
MICHELANGELO	MI KÊ LAN GIÊ LÔ
MICHELL	MI SEN
MICHELLE	MI XEN
MICHELOZZO	MI KÊ LÔ XÔ
MICHELSON	MAI KEN XƠN
MICHIGAN	MI CHI GÂN
MICHOACAN	MI CHÔ A CAN
MICKEY	MÍT KI
MICKIEWICZ	MÍT KI Ê VÍCH
MICROSOFT	MAI RÔ SÓP
MIDDLE	MÍT ĐỒ
MIDDLESBROUGH	MÍT ĐÔ RAO
MIDWAY	MÍT QUÂY
MIES	MI XỜ
MIGUEL	MI GEN
MIGUELITO	MI GHÊ LI TÔ
MIJATOVIC	MI GIA TÔ VÍT
MIKE	MAI
MIKEL	MI CEN
MIKHAJLOV	MI KHAI LỐP
MIKHAJLOVSKIJ	MI KHAI LỐP XỜ KI
MIKLUKHO	MI KHỜ LU KHÔ
MIKULOV	MI CU LỐP
MILAN	MI LĂNG
MILANKOVICH	MI LAN CÔ VÍCH
MILANO	MI LA NÔ
MILENA	MI LÊ NA
MILEY	MI LY
MILHAUD	MI LÔ
MILITARY	MI LI TA RI
MILK	MIU
MILL	MIU
MILLAIS	MI LÂY
MILLAN	MI LAN
MILLARDET	MI LA ĐÉT
MILLER	MIU LƠ
MILLET	MI LÉT
MILLIKAN	MI LI KEN
MILLION	MI LI ÂN
MILOSEVIC	MI LÔ SÊ VÍT
MILTIADES	MIN TI A ĐÉT
MILTON	MIN TƠN
MILUTINOVIC	MI LU TI NÔ VÍT
MILWAUKEE	MIU QUAO KI
MIMI	MI MI
MIMOSA	MI MÔ SA
MINAMATA	MI NA MA TA
MINAMOTO	MI NA MÔ TÔ
MINAS	MI NÁT
MINCUS	MIN CÚT
MINDANAO	MIN ĐA NAO
MINDELO	MIN ĐÊ LÔ
MINDORO	MIN ĐÔ RÔ
MINERVE	MI NÉC VƠ
MINGALADON	MIN GA LA ĐÔN
MINGECHAUR	MIN GÊ CHAU
MINGHE	MIN GHÊ
MININ	MI NIN
MINKOWSKI	MIN CỐP XỜ KI
MINNEAPOLIS	MIN NÊ A BÔ LÍT
MINORCA	MI NOÓC CA
MINOS	MI NỐT
MINSK	MIN XỜ CƠ
MINUSINSK	MI NU XIN XỜ CƠ
MIRABEAU	MI RA BÔ
MIROSLAV	MI RÔ LÁP
MIRREN	MI REN
MIRROR	MI RƠ
MISA	MI SA
MISHAN	MI SAN
MISKOLC	MÍT CÔN
MISKOVICH	MÍT CÔ VÍCH
MISS	MÍT
MISSISSIPPI	MÍT SI SI BI
MISSOURI	MÍT SU RY
MISTRAL	MÍT TRAN
MITANI	MI TA NI
MITCHELL	MÍT SEN
MITHRIDATE	MI TƠ RI ĐÁT
MITIDJA	MI TI GIA
MITROFAN	MI TRÔ PHAN
MITSUBISHI	MÍT SU BI SI
MITTERAND	MÍT TƠ RĂNG
MITUMBA	MI TUM BA
MJASKOVSKIJ	MI ÁT CỐP XỜ KI
MKD	MÁU KHÓ ĐÔNG
MLAREN	MÊ LA REN
MLC	MÁU LÀ CHIẾN
MLCT	MINH LƯƠNG CẨM TÚ
MLLER	MUY LƠ
MLSS	MÃ LỰC SO SÁNH
MMS	EM EM ÉT
MMT	MẠNG MÁY TÍNH
MNBC	MẦM NON BÁN CÔNG
MNCV	MẦM NON CẨM VÂN
MNDBT	MỰC NƯỚC DÂNG BÌNH THƯỜNG
MNTT	MẦM NON TƯ THỤC
MOA	MÔ A
MOBIFONE	MÔ BI PHÔN
MOBIL	MÔ BI
MOBILE	MÔ BI
MOBUTU	MÔ BU TU
MOCTEZUMA	MỐC TÊ GIU MA
MODEL	MO ĐỒ
MODIGLIANI	MÔ ĐI GỜ LI A NI
MOEN	MÔ EN
MOGADISHU	MÔ GA ĐI SU
MOGAN	MO GÂN
MOGGI	MÓT GHI
MOGHOL	MÔ GÔN
MOGOLLON	MÔ GÔ LÔN
MOHAMAD	MÔ HA MÁT
MOHAMED	MÔ HA MÉT
MOHAMMAD	MÔ HA MÉT
MOHAMMED	MÔ HA MÉT
MOHAWK	MÔ HỐC
MOHENJO	MÔ HEN GIÔ
MOHOLY	MÔ HÔ LY
MOHS	MÔ XƠ
MOINKUM	MÔ IN CUM
MOISES	MA SEN
MOISSAN	MÔ A XĂNG
MOIVRE	MÔ A VƠ RƠ
MOJAVE	MÔ GIA VƠ
MOKO	MÔ KÔ
MOLDOVA	MÔN ĐÔ VA
MOLEPOLOL	MÔ LÊ PÔ LON
MOLESCHOTT	MÔ LÊ SÓT
MOLLET	MÔ LÉT
MOLLWEIDE	MÔN QUÂY ĐƠ
MOLLY	MÔ LY
MOLOKAI	MÔ LÔ CAI
MOLUCCAS	MÔ LÚC CA
MOMBASA	MÔM BA XA
MOMMU	MOM MU
MONA	MO NA
MONACO	MA NA CÔ
MONCADA	MÔN CA ĐA
MONDEO	MON ĐÊ Ô
MONDRIAN	MÔN ĐỜ RI AN
MONET	MÔ NÉT
MONGE	MÔNG
MONGKUT	MÔNG CÚT
MONGO	MÔNG GÔ
MONGOLOID	MÔNG GÔ LÔ ÍT
MONGUILLOT	MÔNG GHI LÓT
MONICA	MÔ NI CA
MONITOR	MO NI TƠ
MONOD	MÔ NÓT
MONROE	MÔN RÔ
MONROVIA	MÔN RÔ VI A
MONSTER	MÂN TƠ
MONTAGNIER	MÔN TA NHI Ê
MONTAGUE	MÔN TÊ GHIU
MONTAIGNE	MÔN TÊ NHƠ
MONTANA	MON TA NA
MONTE	MÔNG TÊ
MONTEGO	MÔN TÊ GÔ
MONTELBAAN	MÔN TEN BAN
MONTELLA	MON TÊ LA
MONTENEGO	MONG TÊ NÊ GÔ
MONTENEGRO	MÔN TÊ NÊ RÔ
MONTERREY	MÔN TÊ RÂY
MONTESQUIEU	MÔN TÉT KI Ơ
MONTEVIDEO	MÔN TÊ VI ĐÊ Ô
MONTGOMERY	MÔN TƠ GÔ MƠ RI
MONTMORILLON	MÔN MÔ RI LON
MONTMORIN	MÔN MÔ RIN
MONTPARNASSE	MÔN BÁC NA XƠ
MONTPELLIER	MÔN PÊ LI Ê
MONTREAL	MÔN TRÊ AN
MONTSERRAT	MÔN XÊ RÁT
MOON	MUN
MOORE	MO
MOPTI	MỐP TI
MORALES	MÔ RA LÉT
MORATTI	MÔ RA TI
MORATUWA	MÔ RA TU QUA
MORAVA	MÔ RA VA
MORAVIA	MÔ RA VI A
MORAVIE	MÔ RA VI
MORE	MO
MOREAU	MÔ RÔ
MORELLY	MÔ RÊ LI
MORENA	MÔ RÊ NA
MORENO	MÔ RÊ NÔ
MORESBY	MÔ RÉT BI
MORGAN	MỌT GÂN
MORGENSTERN	MÔ GHEN XỜ TƠN
MORI	MO RI
MORIENTES	MÔ RI EN TÉT
MORISON	MÔ RI SẦN
MORISOT	MÔ RI SÓT
MORITZBURG	MÔ RÍT BUỐT
MORLEY	MO LI
MORNAY	MOÓC NAY
MORNING	MO NING
MOROCCO	MÔ RÓC CÔ
MOROZOV	MÔ RÔ GIỐP
MORRIS	MÔ RÍT
MORRISON	MÔ RÍT SẦN
MORSE	MO XƠ
MORTILLET	MOÓC TI LÉT
MORUO	MÔ RU Ô
MORVAN	MOÓC VAN
MORZHOVETC	MOÓC GIÔ VÉT
MOSANDER	MÔ XAN ĐƠ
MOSCOW	MÁT CƠ VA
MOSEL	MÔ SEN
MOSES	MÔ SÉT
MOSKVA	MỐT VA
MOSS	MỐT
MOSSADEGH	MỐT XA ĐÉC
MOSSI	MÔ XI
MOSSOTTI	MÓT XỐT TI
MOSTAR	MỐT TA
MOSUL	MÔ SUN
MOTHERWELL	MA ĐƠ QUEN
MOTO	MÔ TÔ
MOTOR	MÔ TÔ
MOTOROLA	MÔ TÔ RÔ LA
MOTORS	MÔ TÔ
MOTTAKI	MÓT TA CI
MOUNDOU	MUN ĐU
MOUNIER	MU NI Ê
MOUNT	MAU TƠ
MOUNTAIN	MAO TÂN
MOUNTBATTEN	MAO BÁT TƠN
MOURINHO	MU RIN NHÔ
MOUSSA	MÚT SA
MOUSTIER	MÚT CHI Ê
MOUTIER	MU TI Ê
MOYES	MÔI
MOZAMBIQUE	MÔ GIAM BÍT
MOZART	MÔ GIA
MOZAT	MÔ GIA
MOZILLA	MÔ DIN LA
MPD	MÁY PHÁT ĐIỆN
MPQT	MỸ PHẨM QUỐC TẾ
MQS	MÁY QUAY SỐ
MRAVINSKIJ	MỜ RA VIN XỜ KI
MSLĐ	MẤT SỨC LAO ĐỘNG
MSMV	MÃ SỐ MÃ VẠCH
MST	MÃ SỐ THUẾ
MSVT	MÃ SỐ VẬT TƯ
MTCN	MỸ THUẬT CÔNG NGHIỆP
MTĐ	MAY TRE ĐAN
MTĐB	MÁY TÍNH ĐỂ BÀN
MTĐĐ	MỸ THUẬT ĐƯƠNG ĐẠI
MTĐH	MỤC TIÊU ĐẠI HỘI
MTĐT	MÔI TRƯỜNG ĐÔ THỊ
MTDTGP	MẶT TRẬN DÂN TỘC GIẢI PHÓNG
MTDTGPMNVN	MẶT TRẬN DÂN TỘC GIẢI PHÓNG MIỀN NAM VIỆT NAM
MTDTTN	MẶT TRẬN DÂN TỘC THỐNG NHẤT
MTGP	MẶT TRẬN GIẢI PHÓNG
MTGPMN	MẶT TRẬN GIẢI PHÓNG MIỀN NAM
MTKC	MẶT TRẬN KHÁNG CHIẾN
MTLD	MÔI TRƯỜNG LAO ĐỘNG
MTLĐ	MÔI TRƯỜNG LAO ĐỘNG
MTN	MỘT TRONG NHỮNG
MTQT	MÁ TỚ QUÁT THẾ
MTTG	MÔI TRƯỜNG THẾ GIỚI
MTTH	MA TÚY TỔNG HỢP
MTTN	MÁU TỤ TRONG NÃO
MTTP	MĨ THUẬT THÀNH PHỐ
MTTQ	MẶT TRẬN TỔ QUỐC
MTTQVN	MẶT TRẬN TỔ QUỐC VIỆT NAM
MTXT	MÁY TÍNH XÁCH TAY
MUAKAMI	MU CA MI
MUBARAK	MU BA RẮC
MUDANJIANG	MU ĐAN GI ANG
MUELLER	MIU LƠ
MUFULIRA	MU PHU LI RA
MUGABE	MU GA BÊ
MUHAMMAD	MU HA MÉT
MUHARRAK	MU HA RẮC
MUJNAK	MUI NÁC
MUKDEN	MÚC ĐEN
MULHACEN	MU LA XEN
MULLER	MUN LƠ
MULLERUP	MU LÊ RÚP
MULLIKEN	MU LI KEN
MULTIMEDIA	MÂN TI ME ĐI A
MUMBAI	MUM BAI
MUNCH	MUN CƠ
MUNICH	MU NÍT
MUNKU	MUN CU
MUNSTERBERG	MUN XỜ TÉC BỚT
MUNZER	MUN XƠ
MURAKAMI	MU RA CA MI
MURASAKI	MU RA XA KI
MURAT	MU RÁT
MURATA	MU RA TA
MUREN	MU REN
MURGAB	MUA GÁP
MURMANSK	MUA MAN XỜ CƠ
MURNAU	MUA NAU
MURPHY	MƠ PHI
MURRAY	MƠ RÂY
MUSAB	MÚT SA
MUSHARAF	MU SA RÁP
MUSHARRAF	MU SA RÁP
MUSIC	MIU DÍT
MUSORGSKIJ	MU XOÓC XỜ KI
MUSOVIC	MU SÔ VÍCH
MUSSET	MUY XÊ
MUSSOLINI	MU XÔ LI NI
MUSTAFA	MÚT TA PHA
MUTARE	MU TA RÊ
MUTSAMUDU	MÚT XA MU ĐU
MUTU	MU TU
MUZTAG	MU GIỜ TÁC
MVD	MAI VĂN DÂU
MVS	MỘT VÌ SAO
MVT	MÁY VI TÍNH
MWANZA	MOAN GIA
MWERU	MU Ê RU
MXD	MÁY XÂY DỰNG
MXNB	MÙA XUÂN NHỚ BÁC
MYANMA	MY AN MA
MYANMAR	MY AN MA
